topic,ask_type,count
Acute Pancreatitis,investigation,2
Acute Pancreatitis,image_identification,1
Acute Pancreatitis,management,1
Acute Parotitis,diagnosis,1
Acute Pelvic Pain,diagnosis,1
Acute Phase Reactants,other,1
Acute Phase Response,other,1
Acute Scrotum,diagnosis,1
Acute Scrotum,investigation,1
Acute Scrotum,management,1
Acute Stress Disorder,diagnosis,1
Acute Suppurative Otitis Media,diagnosis,2
Acute care,other,1
Acute coronary syndromes,management,1
Acute dystonia,drug_of_choice,1
Acute fatty liver,other,1
Acute kidney injury,diagnosis,1
Acute kidney injury,investigation,1
Acute kidney injury,management,1
Acute leukemia,mechanism,2
Acute leukemia,diagnosis,1
Acute leukemia,other,1
Acute leukemias,diagnosis,2
Acute liver failure,investigation,1
Acute lymphoblastic leukemia,other,1
Acute metabolic emergencies,management,1
Acute myocardial infarction,other,1
Acute pancreatitis,image_identification,1
Acute parotitis,diagnosis,1
Acute phase proteins,other,1
Acute phase response,other,4
Acute polymorphic psychotic disorder,diagnosis,1
Acute promyelocytic leukemia,investigation,1
Acute scrotum,diagnosis,1
Acute scrotum,investigation,1
Acute transient psychotic disorder,diagnosis,1
Adaptive Immunity,mechanism,1
Addiction,diagnosis,1
Addiction Psychiatry,diagnosis,1
Addiction pharmacology,drug_of_choice,1
Adenoid,anatomy_structure,1
Adenoid,diagnosis,1
Adenoid Hypertrophy,management,1
Adenoid hypertrophy,management,1
Adenoids,diagnosis,1
Adenoids,investigation,1
Adenoids,other,1
Adenomyosis,management,2
Adenomyosis,diagnosis,1
Adenosine,mechanism,1
Adenylyl cyclase,mechanism,1
Adh Action,mechanism,1
Adhd,epidemiology,1
Adhd Medications,drug_of_choice,1
Adipocere,other,1
Adipose Tissue,mechanism,1
Adnexal Masses,diagnosis,1
Adnexal masses,diagnosis,1
Adolescent Health,diagnosis,1
Adolescent Health,epidemiology,1
Adolescent Psychiatry,diagnosis,1
Adolescent health,diagnosis,1
Adrenergic Agents,other,1
Adrenergic Agonists,mechanism,2
Adrenergic Agonists,other,1
Adrenergic Blockers,drug_of_choice,1
Adrenergic Blockers,other,1
Adrenergic Drugs,drug_of_choice,2
Adrenergic Pharmacology,mechanism,2
Adrenergic agents,other,1
Adrenergic agonists,mechanism,2
Adrenergic agonists,drug_of_choice,1
Adrenergic agonists,other,1
Adrenergic blockers,drug_of_choice,2
Adrenergic blockers,other,1
Adrenergic drugs,mechanism,2
Adrenergic drugs,drug_of_choice,1
Adrenergic pharmacology,mechanism,2
Adrenergic receptors,mechanism,1
Adrenoleukodystrophy,diagnosis,1
Advanced cardiac life support,management,1
Adverse Drug Effects,mechanism,1
Adverse Drug Effects,other,1
Adverse Drug Reactions,other,18
Adverse Drug Reactions,mechanism,13
Adverse Drug Reactions,management,3
Adverse Drug Reactions,diagnosis,2
Adverse Drug Reactions,drug_of_choice,1
Adverse Drug Reactions,epidemiology,1
Adverse Drug Reactions,investigation,1
Adverse Effects,mechanism,2
Adverse Effects,other,2
Adverse drug effects,other,8
Adverse drug effects,mechanism,1
Adverse drug reactions,other,18
Adverse drug reactions,mechanism,5
Adverse drug reactions,drug_of_choice,2
Adverse drug reactions,epidemiology,2
Adverse drug reactions,investigation,1
Adverse effects,other,3
Adverse effects,mechanism,1
Afterload,mechanism,1
Age Determination,other,1
Age Estimation,other,9
Age Estimation,investigation,6
Age determination,other,1
Age estimation,other,3
Age estimation,investigation,2
Aging,other,3
Aging,mechanism,1
Aging physiology,other,1
Agoraphobia,diagnosis,1
Agranulocytosis,other,1
Aids Control Programme,other,1
Air Pollution,other,3
Air Pollution,epidemiology,1
Air Pollution,investigation,1
Air Pollution,mechanism,1
Air bronchogram,image_identification,1
Air pollution,mechanism,1
Air pollution,other,1
Airway Assessment,investigation,2
Airway Assessment,other,2
Airway Assessment,diagnosis,1
Airway Devices,anatomy_structure,2
Airway Devices,image_identification,2
Airway Devices,other,1
Airway Emergencies,management,1
Airway Equipment,anatomy_structure,1
Airway Management,management,37
Airway Management,other,13
Airway Management,anatomy_structure,8
Airway Management,image_identification,5
Airway Management,diagnosis,4
Airway Management,investigation,4
Airway Management,drug_of_choice,1
Airway Management,mechanism,1
Airway Obstruction,diagnosis,2
Airway Obstruction,management,1
Airway assessment,other,2
Airway assessment,diagnosis,1
Airway assessment,investigation,1
Airway devices,other,1
Airway emergencies,anatomy_structure,1
Airway foreign bodies,anatomy_structure,1
Airway foreign bodies,diagnosis,1
Airway obstruction,management,1
Airway surgery,management,1
Albendazole,management,1
Alcock's Canal,anatomy_structure,1
Alcohol,diagnosis,1
Alcohol,mechanism,1
Alcohol,other,1
Alcohol Dependence Treatment,management,1
Alcohol Effects,other,1
Alcohol Intoxication,management,1
Alcohol Intoxication,other,1
Alcohol Poisoning,mechanism,1
Alcohol Use Disorder,diagnosis,5
Alcohol Use Disorder,drug_of_choice,1
Alcohol Use Disorder,management,1
Alcohol Withdrawal,diagnosis,3
Alcohol Withdrawal,other,1
Alcohol Withdrawal Syndrome,diagnosis,1
Alcohol and industrial poisons,drug_of_choice,1
Alcohol dependence,diagnosis,1
Alcohol interaction,management,1
Alcohol intoxication,management,1
Alcohol intoxication,other,1
Alcohol metabolism,mechanism,1
Alcohol use disorder,management,1
Alcohol-Related Disorders,management,1
Alcohol-related emergencies,management,1
Alcoholic Cardiomyopathy,diagnosis,1
Alcoholic Liver Disease,diagnosis,1
Alcoholic Liver Disease,epidemiology,1
Alcoholic Liver Disease,other,1
Alcoholic liver disease,diagnosis,1
Alcoholic liver disease,epidemiology,1
Alcoholism,diagnosis,2
Alcohols and Glycols,mechanism,1
Aldose Reductase Inhibitors,drug_of_choice,1
Aldosterone Regulation,mechanism,2
Alkaloids,other,1
Alkaptonuria,other,2
Alkylating agents,other,1
Allergic Bronchopulmonary Aspergillosis,diagnosis,2
Allergic Eye Disease,other,2
Allergic Eye Disease,diagnosis,1
Allergic Eye Disease,management,1
Allergic Lung Diseases,diagnosis,1
Allergic airway disease,other,1
Allergy,diagnosis,1
Allergy,drug_of_choice,1
Allied Health Disciplines,other,2
Alopecia,diagnosis,2
Alopecia,image_identification,1
Alopecia Areata,diagnosis,1
Alopecia Areata,image_identification,1
Alopecia areata,diagnosis,1
Alopecia areata,image_identification,1
Alpha Blockers,drug_of_choice,1
Alpha agonist,mechanism,1
Alpha blockers,drug_of_choice,1
Alpha-1 antitrypsin deficiency,diagnosis,1
Alpha-2 Agonists,mechanism,1
Alpha-2 agonists,mechanism,1
Alpha-Fetoprotein,investigation,1
Alpha-Glucosidase Inhibitors,mechanism,1
Alpha-fetoprotein,investigation,1
Alpha-glucosidase inhibitors,mechanism,1
Altered consciousness,management,1
Alternative Medicine,mechanism,1
Alternative medicine,mechanism,1
Alveolar Gas Equation,other,2
Alzheimer disease,anatomy_structure,1
Alzheimer disease,mechanism,1
Alzheimer'S Disease,diagnosis,4
Alzheimer'S Disease Drugs,management,1
Alzheimer's Disease,diagnosis,3
Alzheimer's disease,diagnosis,2
Alzheimer's disease drugs,management,1
Ambivalence,other,1
Amblyopia,management,3
Amblyopia,diagnosis,1
Amblyopia prevention,management,1
Ambulatory Anesthesia,drug_of_choice,1
Ambulatory anesthesia,drug_of_choice,1
Amenorrhea,diagnosis,13
Amenorrhea,investigation,1
Amenorrhea,mechanism,1
Amenorrhea,other,1
Amenorrhoea,diagnosis,1
American Association of Mental Retardation,diagnosis,1
Amino Acid Chemistry,other,3
Amino Acid Metabolism,mechanism,52
Amino Acid Metabolism,other,21
Amino Acid Metabolism,diagnosis,4
Amino Acid Metabolism,management,3
Amino Acid Metabolism,investigation,2
Amino Acid Metabolism,drug_of_choice,1
Amino Acid Metabolism Disorders,diagnosis,1
Amino Acid Metabolism Disorders,mechanism,1
Amino Acid Properties,mechanism,1
Amino Acid Structure And Classification,other,1
Amino Acid Structure and Classification,other,1
Amino Acid Transport Defects,mechanism,1
Amino Acids,other,14
Amino Acids,mechanism,2
Amino Acids,investigation,1
Amino Acids And Proteins Chemistry,other,3
Amino Sugar Metabolism,mechanism,1
Amino acid chemistry,mechanism,1
Amino acid chemistry,other,1
Amino acid metabolism,mechanism,13
Amino acid metabolism,diagnosis,4
Amino acid metabolism,other,4
Amino acid metabolism,management,1
Amino acid substitution,other,1
Amino acids,other,1
Aminoacidopathies,management,1
Aminoglycosides,other,1
Aminosalicylate drugs,other,1
Aminosalicylates,other,1
Ammonia Metabolism,mechanism,1
Amniotic Band Syndrome,diagnosis,1
Amniotic Band Syndrome,management,1
Amniotic Fluid,other,7
Amniotic Fluid Disorders,diagnosis,1
Amniotic Fluid Dynamics,other,1
Amniotic fluid,other,3
Amniotic fluid disorders,diagnosis,1
Amoebiasis,investigation,1
Amoebiasis,other,1
Amoebic Liver Abscess,management,1
Amphetamine,mechanism,1
Amphetamine Abuse,diagnosis,1
Amputation,epidemiology,1
Amputation Levels,image_identification,1
Amputations,image_identification,2
Amygdala,anatomy_structure,1
Amyloidosis,other,6
Amyloidosis,diagnosis,1
Amyloidosis,image_identification,1
Amyloidosis,investigation,1
Anaerobes,other,1
Anaerobic Bacteria,mechanism,2
Anaerobic Bacteria,other,2
Anaerobic Culture,investigation,1
Anaerobic bacteria,other,1
Anaerobic culture,investigation,1
Anaesthesia Circuits,other,2
Anaesthesia Circuits,management,1
Anaesthesia Complications,management,1
Anaesthesia Equipment,other,2
Anaesthesia Equipment,anatomy_structure,1
Anaesthesia In Systemic Diseases,management,1
Anaesthesia Monitoring,investigation,4
Anaesthesia circuits,management,1
Anaesthesia depth,investigation,2
Anaesthesia equipment,other,2
Anaesthesia in Systemic Diseases,management,1
Anaesthesia monitoring,investigation,2
Anaesthetic Agents,mechanism,3
Anaesthetic Agents,drug_of_choice,1
Anaesthetic Choice,management,1
Anaesthetic Complications,diagnosis,1
Anaesthetic Complications,drug_of_choice,1
Anaesthetic Complications,management,1
Anaesthetic Drugs,diagnosis,1
Anaesthetic Drugs,drug_of_choice,1
Anaesthetic Monitoring,investigation,1
Anaesthetic Monitoring,other,1
Anaesthetic Pharmacology,other,1
Anaesthetic toxicity,mechanism,1
Anal Canal,anatomy_structure,2
Anal Canal Carcinoma,management,1
Anal Carcinoma,anatomy_structure,2
Anal Fissure,diagnosis,2
Anal canal,anatomy_structure,1
Anal canal carcinoma,management,1
Anal carcinoma,anatomy_structure,1
Anal fissure,diagnosis,2
Anal fistula,investigation,1
Analgesia,drug_of_choice,1
Analgesic agents,mechanism,1
Analgesics,drug_of_choice,1
Analgesics,management,1
Analytical Biochemistry,investigation,1
Anaphylaxis,mechanism,1
Anaplerotic Reactions,mechanism,1
Anatomical Planes,anatomy_structure,3
Anatomical Triangles,anatomy_structure,1
Anatomical planes,anatomy_structure,3
Anatomy of neck,anatomy_structure,1
Androgen Insensitivity Syndrome,diagnosis,1
Androgenetic Alopecia,management,1
Androgenetic alopecia,management,1
Androgens,mechanism,2
Androgens,other,2
Anemia,diagnosis,14
Anemia,investigation,4
Anemia,mechanism,3
Anemia,epidemiology,1
Anemia,other,1
Anemia Prevention,management,1
Anemias,diagnosis,2
Anemias,other,1
Anencephaly,epidemiology,1
Anesthesia,other,2
Anesthesia,drug_of_choice,1
Anesthesia,mechanism,1
Anesthesia Circuits,other,2
Anesthesia Equipment,mechanism,1
Anesthesia Equipment,other,1
Anesthesia equipment,mechanism,1
Anesthetic Agents,drug_of_choice,1
Anesthetic Agents,mechanism,1
Anesthetic Complications,management,1
Anesthetic Drugs,other,1
Anesthetic agents,drug_of_choice,1
Anesthetic pharmacology,mechanism,1
Aneurysm,investigation,1
Aneurysm,management,1
Aneurysms,diagnosis,1
Aneurysms,epidemiology,1
Angina pectoris,other,1
Angiodysplasia,other,1
Angioedema treatment,drug_of_choice,1
Angiogenesis,mechanism,4
Anhydramnios,diagnosis,1
Animal Bites,management,1
Animal bites,management,1
Anisometropia,diagnosis,1
Ankle,anatomy_structure,2
Ankle Anatomy,anatomy_structure,1
Ankle Injuries,diagnosis,5
Ankle Sprains,diagnosis,1
Ankle and foot,anatomy_structure,1
Ankle injuries,diagnosis,3
Ankylosing Spondylitis,other,3
Ankylosing Spondylitis,diagnosis,1
Ankylosing spondylitis,diagnosis,2
Ankylosing spondylitis,other,2
Anorectal Disease,mechanism,1
Anorectal Disorders,image_identification,1
Anorectal Disorders,mechanism,1
Anorectal Surgery,anatomy_structure,1
Anorectal Surgery,image_identification,1
Anorectal disorders,anatomy_structure,1
Anorectal disorders,management,1
Anorectal surgery,anatomy_structure,1
Anorexia Nervosa,other,1
Anovulation,mechanism,1
Anovulatory DUB,mechanism,1
Anovulatory Dub,mechanism,1
Ans Pharmacology,other,4
Antenatal Care,other,122
Antenatal Care,management,58
Antenatal Care,diagnosis,46
Antenatal Care,drug_of_choice,28
Antenatal Care,epidemiology,23
Antenatal Care,investigation,18
Antenatal Care,anatomy_structure,14
Antenatal Care,mechanism,14
Antenatal Care,image_identification,2
Antepartum Fetal Surveillance,investigation,1
Antepartum Hemorrhage,diagnosis,2
Antepartum Hemorrhage,image_identification,1
Antepartum Hemorrhage,other,1
Antepartum fetal surveillance,investigation,1
Antepartum hemorrhage,management,1
Anterior Abdominal Wall,anatomy_structure,1
Anterior Cerebral Artery,anatomy_structure,3
Anterior Chamber Angle,anatomy_structure,1
Anterior Segment,other,1
Anterior cerebral artery,anatomy_structure,3
Anterior chamber angle,anatomy_structure,2
Anterior horn,anatomy_structure,1
Anterior segment,anatomy_structure,6
Anterior segment,other,2
Anthelmintic Drugs,drug_of_choice,1
Anthelmintic drugs,drug_of_choice,1
Anthracyclines,other,1
Anthrax,diagnosis,1
Anthrax,mechanism,1
Anthropology,other,1
Anthropometry,other,12
Anthropometry,anatomy_structure,2
Anti-Craving Agents,other,1
Anti-Gout Drugs,management,1
Anti-Inflammatory Agents,mechanism,1
Anti-Inflammatory Drugs,mechanism,1
Anti-Obesity Drugs,drug_of_choice,1
Anti-Reflux Surgery,image_identification,1
Anti-Tubercular Drugs,management,2
Anti-Tubercular Drugs,other,1
Anti-craving agents,other,1
Anti-gout Drugs,mechanism,1
Anti-gout drugs,management,1
Anti-inflammatory Agents,mechanism,1
Anti-inflammatory Drugs,mechanism,1
Anti-obesity drugs,drug_of_choice,1
Anti-tubercular Drugs,other,1
Anti-tubercular drugs,management,2
Antiandrogens,drug_of_choice,1
Antianginal Drugs,mechanism,2
Antianginal Drugs,drug_of_choice,1
Antianginal Drugs,management,1
Antianginal drugs,mechanism,2
Antianginal drugs,drug_of_choice,1
Antianginal drugs,management,1
Antiarrhythmic Drugs,other,6
Antiarrhythmic Drugs,mechanism,3
Antiarrhythmic Drugs,drug_of_choice,2
Antiarrhythmic Drugs,management,1
Antiarrhythmic drugs,other,5
Antiarrhythmic drugs,drug_of_choice,1
Antiarrhythmic drugs,mechanism,1
Antiarrhythmics,mechanism,1
Antibacterial Drugs,drug_of_choice,1
Antibacterial drugs,mechanism,2
Antibacterial drugs,drug_of_choice,1
Antibiotic Classification,mechanism,1
Antibiotic Classification,other,1
Antibiotic Mechanisms,mechanism,1
Antibiotic Prophylaxis,drug_of_choice,1
Antibiotic Resistance,mechanism,5
Antibiotic Selection,drug_of_choice,1
Antibiotic Therapy,drug_of_choice,1
Antibiotic mechanisms,mechanism,1
Antibiotic prophylaxis,drug_of_choice,1
Antibiotic resistance,mechanism,1
Antibiotic selection,drug_of_choice,1
Antibiotic sources,other,2
Antibiotic therapy,drug_of_choice,1
Antibiotic therapy,management,1
Antibiotic-associated Diarrhea,investigation,1
Antibiotic-associated diarrhea,diagnosis,1
Antibodies,other,5
Antibodies,mechanism,2
Antibody structure,mechanism,1
Anticancer Drugs,other,8
Anticancer Drugs,mechanism,5
Anticancer Drugs D,other,1
Anticancer drugs,mechanism,6
Anticancer drugs,other,6
Anticancer drugs,drug_of_choice,2
Anticholinergic Agents,other,1
Anticholinergic Drugs,other,2
Anticholinergic agents,other,1
Anticholinergic drugs,other,2
Anticholinergics,other,1
Anticholinesterase Agents,drug_of_choice,2
Anticholinesterase Agents,mechanism,1
Anticholinesterase agents,drug_of_choice,2
Anticholinesterase agents,mechanism,1
Anticholinesterases,drug_of_choice,1
Anticoagulant Drugs,other,1
Anticoagulant Therapy,drug_of_choice,2
Anticoagulant Therapy,management,1
Anticoagulant drugs,other,1
Anticoagulant therapy,drug_of_choice,1
Anticoagulant therapy,management,1
Anticoagulants,drug_of_choice,6
Anticoagulants,other,6
Anticoagulants,mechanism,5
Anticoagulants,investigation,3
Anticoagulants,management,2
Anticoagulation,management,3
Anticoagulation,drug_of_choice,2
Anticonvulsants,drug_of_choice,1
Anticonvulsants,management,1
Anticonvulsants,other,1
Antidepressant Drugs,other,3
Antidepressant Side Effects,other,1
Antidepressant Toxicity,management,1
Antidepressant drugs,other,3
Antidepressant side effects,other,1
Antidepressant toxicity,management,1
Antidepressants,mechanism,7
Antidepressants,other,6
Antidepressants,drug_of_choice,3
Antidepressants,management,1
Antidiabetic Drugs,mechanism,7
Antidiabetic Drugs,other,7
Antidiabetic Drugs,drug_of_choice,3
Antidiabetic drugs,other,7
Antidiabetic drugs,mechanism,6
Antidiabetic drugs,drug_of_choice,3
Antidiabetic drugs,management,1
Antidiarrheal Agents,drug_of_choice,1
Antidiarrheal Drugs,other,2
Antidiarrheal agents,drug_of_choice,1
Antidiarrheal drugs,other,2
Antidiarrheal drugs,mechanism,1
Antidiuretic hormone antagonists,drug_of_choice,1
Antidotes,drug_of_choice,3
Antidotes,management,2
Antiemetic Drugs,drug_of_choice,3
Antiemetic Drugs,mechanism,1
Antiemetic Side Effects,drug_of_choice,1
Antiemetic Side Effects,mechanism,1
Antiemetic drugs,drug_of_choice,1
Antiemetic drugs,mechanism,1
Antiemetic drugs,other,1
Antiemetics,drug_of_choice,4
Antiemetics,mechanism,3
Antiepileptic Drug Contraindications,drug_of_choice,1
Antiepileptic Drugs,other,7
Antiepileptic Drugs,drug_of_choice,3
Antiepileptic Drugs,mechanism,3
Antiepileptic Drugs,investigation,1
Antiepileptic drugs,other,6
Antiepileptic drugs,mechanism,3
Antiepileptic drugs,management,2
Antiepileptic drugs,drug_of_choice,1
Antiepileptic drugs,investigation,1
Antiepileptics,drug_of_choice,1
Antiepileptics,other,1
Antifolates,mechanism,1
Antifungal Agents,other,4
Antifungal Agents,drug_of_choice,3
Antifungal Agents,mechanism,2
Antifungal Drugs,mechanism,4
Antifungal Drugs,drug_of_choice,3
Antifungal Drugs,other,3
Antifungal Drugs,management,2
Antifungal Pharmacology,other,1
Antifungal Therapy,drug_of_choice,2
Antifungal Therapy,mechanism,1
Antifungal agents,other,4
Antifungal agents,drug_of_choice,2
Antifungal agents,mechanism,2
Antifungal drugs,other,4
Antifungal drugs,drug_of_choice,3
Antifungal drugs,management,1
Antifungal drugs,mechanism,1
Antifungal therapy,drug_of_choice,2
Antifungal therapy,mechanism,1
Antigen Properties,other,1
Antigen presentation,mechanism,1
Antigen properties,other,1
Antigen-Antibody Reactions,other,1
Antigens,other,1
Antigout Agents,mechanism,1
Antigout Drugs,mechanism,2
Antigout agents,mechanism,1
Antigout drugs,mechanism,3
Antihelminthic Drugs,mechanism,2
Antihelminthic Drugs,other,1
Antihelminthic drugs,mechanism,2
Antihelminthic drugs,other,1
Antihistamines,other,4
Antihistamines,drug_of_choice,1
Antihyperlipidemic Drugs,mechanism,6
Antihyperlipidemic Drugs,drug_of_choice,1
Antihyperlipidemic Drugs,other,1
Antihyperlipidemic drugs,mechanism,3
Antihyperlipidemic drugs,drug_of_choice,1
Antihyperlipidemic drugs,other,1
Antihypertensive Agents,management,1
Antihypertensive Drugs,drug_of_choice,4
Antihypertensive Drugs,management,4
Antihypertensive Drugs,other,2
Antihypertensive Drugs,mechanism,1
Antihypertensive agents,management,1
Antihypertensive agents,mechanism,1
Antihypertensive drugs,drug_of_choice,3
Antihypertensive drugs,management,3
Antihypertensive drugs,other,2
Antihypertensives,drug_of_choice,3
Antihypertensives,management,1
Antimalarial Drugs,drug_of_choice,7
Antimalarial Drugs,other,5
Antimalarial Drugs,mechanism,3
Antimalarial Drugs,management,1
Antimalarial drugs,drug_of_choice,7
Antimalarial drugs,other,5
Antimalarial drugs,mechanism,3
Antimalarial drugs,management,2
Antimalarials,other,3
Antimalarials,drug_of_choice,1
Antimetabolites,mechanism,5
Antimetabolites,other,1
Antimicrobial Agents,other,5
Antimicrobial Agents,management,2
Antimicrobial Agents,mechanism,1
Antimicrobial Drugs,other,8
Antimicrobial Drugs,mechanism,6
Antimicrobial Drugs,drug_of_choice,4
Antimicrobial Pharmacology,drug_of_choice,2
Antimicrobial Prophylaxis,drug_of_choice,1
Antimicrobial Resistance,mechanism,12
Antimicrobial Resistance,other,3
Antimicrobial Resistance,drug_of_choice,1
Antimicrobial Resistance,management,1
Antimicrobial Sensitivity,investigation,1
Antimicrobial Susceptibility Testing,investigation,2
Antimicrobial Susceptibility Testing,other,1
Antimicrobial Therapy,drug_of_choice,6
Antimicrobial Therapy,management,1
Antimicrobial agents,other,1
Antimicrobial drugs,drug_of_choice,3
Antimicrobial drugs,other,3
Antimicrobial drugs,mechanism,1
Antimicrobial pharmacology,drug_of_choice,1
Antimicrobial prophylaxis,drug_of_choice,1
Antimicrobial resistance,mechanism,7
Antimicrobial resistance,management,2
Antimicrobial resistance,other,2
Antimicrobial susceptibility testing,investigation,2
Antimicrobial therapy,drug_of_choice,7
Antimicrobial therapy,management,1
Antimicrobials,other,43
Antimicrobials,drug_of_choice,19
Antimicrobials,mechanism,11
Antimicrobials,management,10
Antimicrobials,investigation,3
Antimigraine Drugs,drug_of_choice,4
Antimigraine Drugs,management,1
Antimigraine Drugs,other,1
Antimigraine drugs,drug_of_choice,4
Antimigraine drugs,management,1
Antimigraine drugs,other,1
Antimuscarinic Drugs,drug_of_choice,1
Antimuscarinic drugs,drug_of_choice,2
Antimuscarinic drugs,other,1
Antimycobacterial Drugs,mechanism,2
Antimycobacterial Drugs,drug_of_choice,1
Antimycobacterial Drugs,other,1
Antimycobacterial drugs,mechanism,2
Antimycobacterial drugs,drug_of_choice,1
