topic,concept,count
Diabetic Neuropathy,Diabetic 3rd nerve palsy earliest sign,2
Elbow Dislocation,late complications elbow dislocation,2
Electroconvulsive Therapy,ECT contraindications,4
Embryology,Dorsal mesentery development,2
Embryology,fetoplacental circulation timing,2
Endocrine,Pregnancy thyroid hormone alteration,2
Endocrine,first-line drug for acromegaly,2
Endocrinology,VIPoma Verner Morrison syndrome,2
Endocrinology,hCG stimulates fetal testosterone,2
Endocrinology,insulin mediated glucose transport,2
Energy Metabolism,ATP immediate energy source,2
Environment & Occupational Health,Minimum floor space per worker,2
Enzymology,Trypsin serine protease,2
Epidemiological Study Designs,Ecological study unit of analysis,2
Epidemiology,Bradford Hill criteria,3
Epidemiology,Secondary attack rate definition,3
Epidemiology,Tuberculosis incidence rate,3
Epidemiology,Natural history study design,2
Epidemiology,Relative risk definition,2
Episiotomy Repair,Episiotomy repair steps,2
Esophageal Imaging,Esophageal pathology imaging,2
Extraocular Muscles,Longest extraocular muscle,2
Facial Nerve,Facial nerve terminal branches,2
Fractures,Femoral neck fracture AVN,2
Fractures,Osteoporotic vertebral fracture site,2
Fractures,orbital blow out fracture location,2
Gastrointestinal,Hirschsprung ganglion cell absence,2
Gastrointestinal,NO action GI tract,2
Gender Dysphoria,gender identity disorder,3
General Anaesthetics,Ketamine dissociative anesthesia,2
Genetics & Molecular Biology,Cowden syndrome PTEN mutation,2
Genetics & Molecular Biology,Myotonic dystrophy chromosome 19,2
Glaucoma,100 day glaucoma association,2
Glaucoma,Glaucomatous nasal step,2
Gout,Pegloticase for chronic gout,2
Graves Disease,Graves disease false statement,2
Growth & Development,Intellectual disability terminology,2
Growth & Development,Ortolani test for DDH,2
Growth & Development,Placenta umbilical cord anatomy physiology,2
Growth & Development,True hermaphroditism karyotype,2
Head And Neck Anatomy,Korner's septum location,2
Head Injury Assessment,Glasgow Coma Scale calculation,3
Heart,Left atrium forms heart base,2
Helminth Morphology,Trematode body cavity absence,2
Hematopathology,Bernard-Soulier Gp Ib deficiency,2
Hematopathology,CD59 marker PNH,2
Hematopathology,Cutaneous lymphoma risk factors,2
Hematopathology,Parvovirus B19 aplastic crisis,2
Hematopathology,neonatal RBC lifespan,2
Hepatology,Wilson disease investigation,3
Hernia & Abdominal Wall,McBurney incision nerve injury,2
Histology,Schwann cells myelinate PNS,2
Immunization,Diphtheria contact management,2
Immunization,Live vaccine minimum interval,2
Immunization,Tetanus prophylaxis clean wound,2
Immunodeficiency,DiGeorge syndrome features,2
Immunology,IFN gamma macrophage activation,2
Immunology,Oakley-Fulthorpe double diffusion,2
Infectious Diseases,Donovanosis diagnosis,2
Infectious Diseases,Warthin-Finkeldey cells measles,2
Inflammation & Healing,Negative acute phase proteins,2
Lower Limb,Femoral head arterial supply,2
Lower Limb,Posterior tibial artery location,2
Lower Limb,Psoas major hip flexion,2
Mania,Grandiosity in mania,2
Medical Jurisprudence,Closed court sexual assault proceedings,2
Metal Poisoning,Cadmium poisoning proximal tubule proteinuria,2
Molecular Diagnostics,Multiplex PCR pathogen detection,2
Movement Disorders,Sydenham chorea drug treatment,2
Musculoskeletal Anatomy,Muscle action identification,2
National Health Programs,Janani Shishu Suraksha Karyakram,2
Neonatology,APGAR score 3 meaning,2
Neoplasia,CEA elevation in non-neoplastic disease,2
Neoplasia,JNA diagnosis,2
Nephrology,Dialysis disequilibrium cerebral edema,2
Neurology,Scissor gait causes,2
Neuromuscular Blockers,Atracurium Hofmann elimination,2
Neuromuscular Disorders,Myasthenia gravis acetylcholine receptors,2
Nose & PNS,Bidirectional zoonotic transmission,2
Oral Hypoglycemics,Identify insulin secretagogue drug,2
Otology,Gradenigo syndrome features,2
Otology,Rinne test conductive hearing loss,2
Ovarian Neoplasms,Most common malignant ovarian tumor,2
Pancreatic Cancer,Pancreatic head cancer best investigation,2
Paraphilias,Exhibitionism definition,2
Parasitology,Echinococcus granulosus definitive host,4
Parasitology,Acanthamoeba contact lens keratitis,2
Parasitology,Trichomonas vaginalis diagnosis,2
Parasitology,Wuchereria bancrofti filariasis,2
Peptic Ulcer Disease,Chronic gastric ulcer location,2
Pericardial Diseases,Constrictive pericarditis diagnosis,2
Peroxisomal Disorders,Zellweger syndrome peroxisome absence,2
Personality Disorders,Antisocial personality disorder,2
Personality Disorders,Obsessive compulsive personality disorder,2
Personality Disorders,Paranoid personality features,2
Pharmacokinetics,Loading dose factors,2
Pigmented Lesions,Becker nevus diagnosis,3
Placenta Previa,Placenta previa management,2
Porphyrin Metabolism,Lead inhibits ALA dehydratase,2
Postmortem Changes,Postmortem muscular irritability,2
Psychotic Disorders,Acute polymorphic psychotic disorder,2
Pulmonology,Respiratory failure types,2
Pulmonology,VRG activation during forced expiration,2
Pulmonology,normal respiratory rate infants,2
Radiation Oncology,Chordoma radiation treatment,2
Renal,Renal cell carcinoma histology,2
Retina,Retinitis pigmentosa diagnosis,3
Retina,Central retinal artery occlusion,2
Retina,primary retinal detachment type,2
Rheumatoid Arthritis,Rheumatoid arthritis clinical features,2
Rhinology,Open rhinoplasty incision,2
Sampling Methods,Stratified random sampling,2
Scabies,scabies distribution pattern,2
Schizophrenia & Psychosis,Schizophrenia diagnostic criteria,2
Schizophrenia & Psychosis,Schizophrenia negative symptoms,2
Septic Arthritis,Tom Smith septic arthritis definition,2
Skull Imaging,Salt and pepper skull appearance,2
Special Senses,Sour taste receptor mechanism,2
Spondyloarthropathies,Ankylosing spondylitis diagnosis,2
Substance Use,Alcohol dependence criteria,4
Syphilis,Saddle nose tertiary syphilis,2
Systemic Vasculitis,Vasculitis glomerulonephritis neuropathy investigation,2
Thanatology,Cephalic index for race,2
Thanatology,postmortem muscular irritability,2
Thermoregulation,PGE2 endogenous pyrogen,2
Throat & Larynx,Postlaryngectomy voice rehabilitation,2
Toxicology,Deferoxamine for iron overdose,2
Toxicology,Methanol toxic metabolites,2
Upper Limb,Posterior axilla wall formation,2
Upper Limb,Thumb opposition muscle,2
Uveitis,Red keratic precipitates,2
Vasomotor Rhinitis,Vasomotor rhinitis features,2
Ventilation Perfusion Matching,Va/Q ratio infinity condition,2
Viral Hepatitis,Hepatitis B serology interpretation,2
Virology,Influenza incubation period,2
Virology,Parvovirus B19 aplastic crisis,2
Vitamins & Nutrition,Pellagra niacin deficiency,3
Vitamins & Nutrition,Breast milk vitamin K deficiency,2
Vitamins & Nutrition,Iodine RDA during lactation,2
Vitamins & Nutrition,Richest source of vitamin B12,2
Vitamins & Nutrition,Thiamine before glucose,2
Wilson Disease,Wilson disease investigation,3
Wound Care,VAC negative pressure setting,3
