topic,concept,count,years
Abdomen,Inguinal nodes do not drain stomach,1,2016
Abdomen,Intraembryonic coelom formation,1,2012
Abdomen,Intraperitoneal and retroperitoneal structures,1,2013
Abdomen,Kidney from ureteric bud,1,2014
Abdomen,Left gastric node drainage,1,2016
Abdomen,Left lobe segments II III,1,2013
Abdomen,Lienorenal ligament anatomy,1,2014
Abdomen,Liver blood supply,1,2013
Abdomen,Liver segment drainage both sides,1,2016
Abdomen,Major duodenal papilla anatomy,1,2015
Abdomen,Most common cause acute abdomen young girl,1,2014
Abdomen,Obese female abdominal pain distension,1,2021
Abdomen,Obliterated umbilical vein,1,2013
Abdomen,Ochsner-Sherren regimen,1,2014
Abdomen,Pancreatic centroacinar cells,1,2013
Abdomen,Penetrating abdominal trauma management,1,2024
Abdomen,Perforated viscus management,1,2022
Abdomen,Peritoneal folds embryology,1,2022
Abdomen,Persistent supracardinal veins,1,2013
Abdomen,Peyer's patches absent in jejunum,1,2015
Abdomen,Phrenic nerve referral,1,2016
Abdomen,Phrenicocolic ligament colon diaphragm support,1,2014
Abdomen,Pneumomediastinum esophageal rupture,1,2020
Abdomen,Portal vein absent in Calot triangle,1,2015
Abdomen,Portal vein formation,1,2012
Abdomen,Puborectalis forms anorectal angle,1,2015
Abdomen,Rectosigmoid junction watershed area,1,2014
Abdomen,Red pulp architecture,1,2013
Abdomen,Right gastroepiploic node drainage,1,2016
Abdomen,Right kidney anterior relations,1,2012
Abdomen,Right renal vein relation,1,2012
Abdomen,Space of Disse location,1,2019
Abdomen,Splenic flexure watershed area,1,2014
Abdomen,Spleniculi common in hilum,1,2015
Abdomen,Structures at L3 level,1,2012
Abdomen,Superficial epigastric artery origin,1,2014
Abdomen,Superior border epiploic foramen,1,2016
Abdomen,White pulp organization,1,2013
Abdomen,appendicular mass surgical management,1,2015
Abdomen,burst abdomen most common day,1,2014
Abdomen,colonic angiodysplasia features,1,2014
Abdomen,deep inguinal ring exceptions,1,2015
Abdomen,e,1,2023
Abdomen,external oblique ligament formation,1,2015
Abdomen,gas under diaphragm causes,1,2021
Abdomen,hypotensive acute abdomen management,1,2019
Abdomen,kidney blood supply facts,1,2015
Abdomen,liver segments falciform ligament,1,2011
Abdomen,midgut return failure,1,2019
Abdomen,most common cause small bowel obstruction,1,2014
Abdomen,posterior gastric perforation enters lesser sac,1,2016
Abdomen,pyogenic liver abscess etiology,1,2014
Abdomen,right kidney posterior relations,1,2015
Abdomen,uncinate process compresses SMA,1,2020
Abdominal Abscesses,Intraperitoneal abscess common site,1,2022
Abdominal Anatomy,Abdominal aorta lateral branches identification,1,2012
Abdominal Anatomy,Abdominal ligament identification,1,2018
Abdominal Anatomy,Abdominal vessel identification,1,2017
Abdominal Anatomy,Celiac plexus anatomy,1,2010
Abdominal Anatomy,Gastroduodenal artery duodenal injury,1,2024
Abdominal Anatomy,Head of pancreas posterior relations,1,2011
Abdominal Anatomy,Hesselbach's triangle identification,1,2019
Abdominal Anatomy,Inferior mesenteric artery branches identification,1,2012
Abdominal Anatomy,Inguinal ligament anatomical relations,1,2012
Abdominal Anatomy,Liver cirrhosis anastomotic veins,1,2018
Abdominal Anatomy,McBurney incision nerve injury,1,2013
Abdominal Anatomy,Most common renal vascular anomaly,1,2010
Abdominal Anatomy,Pancreatic uncinate process compression,1,2020
Abdominal Anatomy,Peritoneal folds embryology,1,2022
Abdominal Anatomy,Posterior relation of pancreatic neck,1,2015
Abdominal Anatomy,ascending colon no mesentery,1,2014
Abdominal Anatomy,congenital hernia anatomy,1,2020
Abdominal Anatomy,coronary ligaments of liver,1,2014
Abdominal Anatomy,hepatic artery collateral circulation,1,2020
Abdominal Anatomy,identify lienorenal ligament,1,2022
Abdominal Anatomy,liver segments falciform ligament,1,2011
Abdominal Anatomy,triangular ligaments of liver,1,2014
Abdominal Aorta,Inferior mesenteric artery branch,1,2012
Abdominal Aortic Aneurysm,AAA >5.5 cm warrants surgical intervention,1,2024
Abdominal Aortic Aneurysm,AAA rupture risk >5.5 cm,1,2015
Abdominal Aortic Aneurysm,Abdominal aortic aneurysm common cause,1,2010
Abdominal Aortic Aneurysm,Abdominal aortic aneurysm management guidelines,1,2020
Abdominal Aortic Aneurysm,Asymptomatic AAA surgical repair criteria,1,2016
Abdominal Arteries,Angiography artery identification,1,2016
Abdominal CT,Abdominal vessel identification CT,1,2016
Abdominal CT Interpretation,CT findings abdominal pain management,1,2018
Abdominal Ct,Abdominal vessel identification CT,1,2016
Abdominal Ct Interpretation,CT findings abdominal pain management,1,2018
Abdominal Emergencies,Abdominal emergency management,1,2019
Abdominal Emergencies,Perforated viscus management,1,2022
Abdominal Emergencies,Peritonitis shock initial management,1,2011
Abdominal Imaging,Abdominal X-ray diagnosis,1,2024
Abdominal Imaging,Abdominal radiological image diagnosis,1,2020
Abdominal Imaging,Abdominal radiological sign identification,1,2020
Abdominal Imaging,Adrenal adenoma CT characteristics,1,2010
Abdominal Imaging,Balthazar CT severity index,1,2013
Abdominal Imaging,Bowel obstruction imaging findings,1,2021
Abdominal Imaging,CT findings abdominal pain management,1,2018
Abdominal Imaging,Choledochal cyst imaging,1,2024
Abdominal Imaging,Chronic calcific pancreatitis radiograph,1,2024
Abdominal Imaging,Gharbi staging hydatid cyst,1,2019
Abdominal Imaging,Hydatid cyst sonographic appearance,1,2016
Abdominal Imaging,Liver vascular anatomy CT,1,2018
Abdominal Imaging,Pneumoperitoneum,1,2015
Abdominal Imaging,Water lily sign hydatid cyst,1,2019
Abdominal Imaging,X-ray structure identification,1,2017
Abdominal Imaging,intestinal obstruction imaging signs,1,2021
Abdominal Muscles,External oblique muscle derivatives,1,2019
Abdominal Pain,CT findings abdominal pain management,1,2018
Abdominal Pain,Chronic pancreatitis clinical features,1,2011
Abdominal Pain,Obese female abdominal pain distension,1,2021
Abdominal Pain,Rheumatic fever acute abdomen,1,2019
Abdominal Plexuses,Celiac plexus anatomy,1,2010
Abdominal Radiograph,multiple air fluid levels,1,2014
Abdominal Radiography,minimum gas detection imaging,1,2014
Abdominal Radiology,Chronic pancreatitis calcification,1,2021
Abdominal Radiology,Double ring sign intussusception,1,2024
Abdominal Radiology,Step ladder sign obstruction,1,2012
Abdominal Radiology,X-ray hollow viscus perforation,1,2021
Abdominal Regions,Central abdominal region composition,1,2016
Abdominal Regions,Left abdominal region composition,1,2016
Abdominal Regions,Right abdominal region composition,1,2016
Abdominal Surgery,Duodenum surgery IVC injury,1,2025
Abdominal Surgery,Exploratory laparotomy indication,1,2022
Abdominal Surgery,Intraperitoneal abscess common site,1,2022
Abdominal Vasculature,Abdominal aorta lateral branches identification,1,2012
Abdominal Vasculature,Common hepatic artery branch,1,2015
Abdominal Vasculature,Inferior mesenteric artery branches identification,1,2012
Abdominal Vasculature,Splenic artery branch exception,1,2015
Abdominal Vasculature,Superior pancreaticoduodenal artery branch,1,2015
Abdominal Vasculature,hepatic artery collateral circulation,1,2020
Abdominal Vessels,Inferior mesenteric artery branches,1,2012
Abdominal Vessels,Left colic artery branching,1,2012
Abdominal Vessels,Sigmoidal artery distribution,1,2012
Abdominal Vessels,Superior rectal artery anastomoses,1,2012
Abdominal Viscera,Pancreatic uncinate process compression,1,2020
Abdominal Wall Anatomy,Abdominal wall layers,1,2018
Abdominal Wall Anatomy,Deep inguinal ring anatomy,1,2018
Abdominal Wall Anatomy,Direct inguinal hernia anatomy,1,2018
Abdominal Wall Defects,Omphalocele embryological cause,1,2019
Abdominal Wall Defects,Omphalocele membrane embryology,1,2024
Abdominal anatomy,Falciform ligament origin,1,2018
Abdominal anatomy,Posterior relation of pancreatic neck,1,2015
Abdominal anatomy,Somatic peritoneal pain,1,2013
Abdominal anatomy,ascending colon no mesentery,1,2014
Abdominal anatomy,coronary ligaments of liver,1,2014
Abdominal anatomy,triangular ligaments of liver,1,2014
Abdominal aorta,Inferior mesenteric artery branch,1,2012
Abdominal aortic aneurysm,AAA >5.5 cm warrants surgical intervention,1,2024
Abdominal aortic aneurysm,AAA rupture risk >5.5 cm,1,2015
Abdominal imaging,Colon haustral markings,1,2012
Abdominal imaging,Hydatid cyst sonographic appearance,1,2016
Abdominal imaging,Hydronephrosis rim sign,1,2012
Abdominal imaging,minimum gas detection imaging,1,2014
Abdominal imaging,rolled up omentum sign,1,2016
Abdominal radiography,minimum gas detection imaging,1,2014
Abdominal radiology,Chronic pancreatitis calcification,1,2021
Abdominal radiology,Double ring sign intussusception,1,2024
Abdominal regions,Central abdominal region composition,1,2016
Abdominal regions,Left abdominal region composition,1,2016
Abdominal regions,Right abdominal region composition,1,2016
Abdominal surgery,Exploratory laparotomy indication,1,2022
Abdominal surgery,Indirect hernia strangulation risk,1,2012
Abdominal vessels,Inferior mesenteric artery branches,1,2012
Abdominal vessels,Left colic artery branching,1,2012
Abdominal vessels,Sigmoidal artery distribution,1,2012
Abdominal vessels,Superior rectal artery anastomoses,1,2012
Abnormal Behavior,Stalking legal definition,1,2014
Abnormal Uterine Bleeding,Adolescent menorrhagia cause,1,2014
Abnormal Uterine Bleeding,DUB endometrial thickness investigation,1,2011
Abnormal Uterine Bleeding,Hysteroscopic diagnosis AUB,1,2016
Abnormal Uterine Bleeding,Leiomyoma hysteroscopy AUB,1,2018
Abnormal Uterine Bleeding,Menorrhagia fibroid treatment options,1,2019
Abnormal Uterine Bleeding,Menorrhagia preferred treatment reproductive age,1,2012
Abnormal Uterine Bleeding,Metropathic hemorrhagica typical age,1,2013
Abnormal Uterine Bleeding,Oligomenorrhoea meaning,1,2013
Abnormal Uterine Bleeding,heavy menstrual bleeding management,1,2020
Abnormal Uterine Bleeding,intramural fibroid does not cause metrorrhagia,1,2013
Abnormal uterine bleeding,AUB hysteroscopy diagnosis,1,2017
Abnormal uterine bleeding,Adolescent menorrhagia cause,1,2014
Abnormal uterine bleeding,Menorrhagia preferred treatment reproductive age,1,2012
Abnormal uterine bleeding,Metropathic hemorrhagica typical age,1,2013
Abnormal uterine bleeding,heavy menstrual bleeding management,1,2020
Abnormal uterine bleeding,intramural fibroid does not cause metrorrhagia,1,2013
Abortion,D&E not for threatened abortion,1,2016
Abortion,Early pregnancy medical termination drugs,1,2022
Abortion,Mid-trimester abortion best method,1,2015
Abortion Methods,Medical abortion drug combination,1,2024
Abpi Interpretation,ABPI artificial increase causes,1,2017
Abrasion,Hanging ligature abrasion,1,2012
Abreaction,Abreaction expression of emotions,1,2018
Abruptio Placentae,Couvelaire uterus cause,1,2014
Abruptio placentae,Couvelaire uterus cause,1,2014
Absence Seizure,Absence seizure drug of choice,1,2014
Absorption,Intestinal glucose transport mechanism,1,2016
Absorption,Main water absorption site,1,2011
Acanthosis Nigricans,Acanthosis nigricans associations,1,2013
Acanthosis nigricans,Acanthosis nigricans associations,1,2013
Accessory spleen,Accessory spleen common site,1,2014
Ace Inhibitors,ACE inhibitor bradykinin effect,1,2015
Ace Inhibitors,ACE inhibitor renal safety,1,2015
Acetaminophen,Acetaminophen overdose bilirubin threshold,1,2020
Acetyl CoA Carboxylase,Acetyl-CoA carboxylase activation,1,2015
Acetylcholine,acetylcholine promotes sleepiness,1,2024
Acetylcholine,calcium triggers acetylcholine release,1,2024
Achalasia,Heller's myotomy indication,2,"2014,2015"
Achalasia,Achalasia diagnostic investigation,1,2016
Achalasia,double track sign in achalasia,1,2014
Acid Base Balance,Bicarbonate extracellular buffer,1,2013
Acid Base Balance,Venous red cell chloride,1,2012
Acid Base Balance,metabolic acidosis due to bicarbonate loss,1,2020
Acid Base Balance,most important intracellular buffer,1,2015
Acid Base Disorders,severe acidemia interpretation,1,2024
Acid Peptic Disease,GERD drug mechanisms,1,2016
Acid base disorders,Diabetic ketoacidosis bicarbonate loss,1,2011
Acid base disorders,Dialysis for severe acidosis,1,2013
Acid base disorders,severe acidemia interpretation,1,2024
Acid-Base Balance,ABG interpretation respiratory acidosis,1,2022
Acid-Base Balance,Acid-base disorder presentation,1,2021
Acid-Base Balance,Acidosis pH value,1,2019
Acid-Base Balance,Ammonia distal tubule antiport,1,2015
Acid-Base Balance,Elevated anion gap metabolic acidosis,1,2024
Acid-Base Balance,High altitude hyperventilation,1,2025
Acid-Base Balance,High altitude respiratory alkalosis,1,2024
Acid-Base Balance,High altitude respiratory alkalosis mechanism,1,2024
Acid-Base Balance,High anion gap acidosis,1,2019
Acid-Base Balance,Intracellular pH relative to ECF,1,2015
Acid-Base Balance,Metabolic acidosis HCO3 loss,1,2020
Acid-Base Balance,Metabolic acidosis lab interpretation,1,2020
Acid-Base Balance,Metabolic acidosis respiratory alkalosis interpretation,1,2020
Acid-Base Balance,Partially compensated respiratory alkalosis,1,2011
Acid-Base Balance,Renal tubular acidosis ABG interpretation,1,2020
Acid-Base Balance,Respiratory alkalosis ABG,1,2021
Acid-Base Balance,Respiratory alkalosis compensation,1,2010
Acid-Base Balance,Sodium citrate corrects acidosis,1,2015
Acid-Base Balance,altered sensorium ABG,1,2025
Acid-Base Balance,arterial pH <7.3,1,2016
Acid-Base Balance,renal HCO3 loss,1,2020
Acid-Base Disorders,ABG interpretation respiratory acidosis,2,2022
Acid-Base Disorders,Acid-base disorder diagnosis,1,2018
Acid-Base Disorders,IVF induced acidosis,1,2025
Acid-Base Disorders,Metabolic acidosis lab interpretation,1,2020
Acid-Base Disorders,Metabolic acidosis respiratory alkalosis interpretation,1,2020
Acid-Base Disorders,Normal saline hyperchloremic metabolic acidosis,1,2024
Acid-Base Disorders,Partially compensated respiratory alkalosis,1,2011
Acid-Base Disorders,Renal tubular acidosis ABG interpretation,1,2020
Acid-Base Disorders,Respiratory alkalosis compensation,1,2010
Acid-Base Disorders,Respiratory alkalosis management,1,2013
Acid-Base Disorders,Vomiting metabolic alkalosis,1,2013
Acid-base balance,Acid-base disorder diagnosis,1,2018
Acid-base balance,Cyanide inhibits cytochrome c oxidase,1,2022
Acid-base balance,Intracellular pH relative to ECF,1,2015
Acid-base balance,Normal saline hyperchloremic acidosis,1,2025
Acid-base disorders,Acid-base disorder diagnosis,1,2018
Acid-base disorders,Diarrhea hypokalemia metabolic acidosis,1,2015
Acid-base disorders,Respiratory acidosis increase in PaCO2,1,2016
Acid-base disorders,Respiratory alkalosis management,1,2013
Acid-base disorders,Vomiting metabolic alkalosis,1,2013
Acidosis,Acidosis pH value,1,2019
Acl Injuries,ACL injury facts,1,2016
Acne,Absence of comedones in rosacea,1,2013
Acne,Hyperandrogenism cause of acne,1,2023
Acne,Isotretinoin acne dosing limit,1,2012
Acne,Nodulocystic acne therapy,1,2014
Acne,Nodulocystic acne treatment options,1,2014
Acne,Resorcinol acne treatment,1,2016
Acne,Testosterone cause acne,1,2013
Acne Management,Nodulocystic acne treatment options,1,2014
Acne Vulgaris,Acne pathogenesis hormonal role,1,2013
Acne Vulgaris,comedonal acne drug choice,1,2015
Acne vulgaris,comedonal acne drug choice,1,2015
Acneiform Disorders,Acne conglobata management,1,2021
Acneiform disorders,Acne conglobata management,1,2021
Acoustic Neuroma,Acoustic neuroma nerve involvement,1,2013
Acquired Inflammatory Skin Rashes,Acquired inflammatory skin rashes,1,2015
Acquired inflammatory skin rashes,Acquired inflammatory skin rashes,1,2015
Acral lentiginous melanoma,Acral lentiginous melanoma site,1,2016
Acrodermatitis Enteropathica,Zinc deficiency,1,2013
Acrodermatitis enteropathica,Zinc deficiency,1,2013
Acromegaly,Acromegaly most common death cause,1,2020
Acromegaly,Cabergoline acromegaly,1,2016
Acromegaly Management,Cabergoline acromegaly,1,2016
Acromegaly management,Cabergoline acromegaly,1,2016
Actinomycosis,Actinomyces causes sulfur granules,1,2018
Actinomycosis,Actinomycosis CT,1,2019
Actinomycosis,Frozen pelvis actinomycosis,1,2013
Actinomycosis,IUD actinomycosis risk,1,2014
Action potential,Action potential phase identification,1,2024
Action potentials,Action potential phase matching,1,2018
Action potentials,Ventricular muscle action potential,1,2018
Active Transport,ATPase pump classification,1,2016
Active Transport,Active transport against gradient,1,2015
Active Transport,Carrier protein common,1,2015
Acute Chest Pain Evaluation,Hypertensive acute chest pain investigation,1,2021
Acute Coronary Syndrome,chest pain management options,1,2021
Acute Cystitis,Acute cystitis urine findings,1,2011
Acute HIV syndrome,acute HIV features,1,2014
Acute Heart Failure,Hypertensive acute pulmonary edema management,1,2022
Acute Kidney Injury,AKI biomarker not involved,1,2014
Acute Kidney Injury,ARF etiology,1,2015
Acute Kidney Injury,Acute renal failure investigation choice,1,2010
Acute Kidney Injury,Pre-renal azotemia diagnostic criteria,1,2010
Acute Kidney Injury,RIFLE criteria for AKI,1,2016
Acute Leukemia,APL t(15;17) translocation,2,2024
Acute Leukemia,APL PML RARA translocation,1,2024
Acute Leukemia,Acute leukemia chemotherapy,1,2024
Acute Leukemia,Acute promyelocytic leukemia fusion,1,2022
Acute Leukemias,AML M3 associated DIC,1,2013
Acute Leukemias,AML M4 gum hypertrophy,1,2013
Acute Liver Failure,King's College Criteria liver transplant,1,2020
Acute Lung Injury,ARDS IL-8 role,1,2024
Acute Lymphoblastic Leukemia,ALL poor prognostic factors,1,2011
Acute Metabolic Emergencies,Thiamine before dextrose,1,2019
Acute Pancreatitis,Flank ecchymosis in pancreatitis,2,2013
Acute Pancreatitis,Acute pancreatitis radiographic signs,1,2014
Acute Pancreatitis,Balthazar CT severity index,1,2013
Acute Pancreatitis,CT severity scoring pancreatitis,1,2013
Acute Pancreatitis,Epigastric pain elevated lipase,1,2020
Acute Pancreatitis,Periumbilical ecchymosis in pancreatitis,1,2013
Acute Pancreatitis,Serum amylase not prognostic,1,2016
Acute Parotitis,Acute parotitis diagnosis,1,2020
Acute Pelvic Pain,Acute pelvic pain causes,1,2016
Acute Phase Reactants,C-reactive protein C meaning,1,2011
Acute Phase Response,Negative acute phase proteins,1,2013
Acute Scrotum,Doppler ultrasound for torsion,1,2016
Acute Scrotum,Testicular torsion salvage window,1,2013
Acute Scrotum,Traumatic testicular torsion differential,1,2013
Acute Stress Disorder,Acute stress disorder diagnostic criteria,1,2024
Acute Suppurative Otitis Media,Acute otitis resolution stage,1,2013
Acute Suppurative Otitis Media,Acute otitis suppuration stage,1,2013
Acute care,Acute hyponatremia symptomatic level,1,2016
Acute coronary syndromes,Early PCI for NSTEMI,1,2013
Acute dystonia,Acute dystonia central anticholinergic,1,2014
Acute fatty liver,Acute fatty liver of pregnancy characteristics,1,2019
Acute kidney injury,Absolute hemodialysis indications,1,2013
Acute kidney injury,Acute kidney injury biomarkers,1,2014
Acute kidney injury,Prerenal oliguria from dehydration,1,2013
Acute leukemia,APL t(15;17) translocation,2,2024
Acute leukemia,AML M3 t(15;17) translocation,1,2012
Acute leukemia,AML gingival hyperplasia,1,2018
Acute leukemias,AML M3 associated DIC,1,2013
Acute leukemias,AML M4 gum hypertrophy,1,2013
Acute liver failure,King's College Criteria liver transplant,1,2020
Acute lymphoblastic leukemia,ALL extramedullary testicular relapse,1,2012
Acute metabolic emergencies,Thiamine before dextrose,1,2019
Acute myocardial infarction,Dressler's syndrome is late complication,1,2015
Acute pancreatitis,Acute pancreatitis radiographic signs,1,2014
Acute parotitis,Acute parotitis diagnosis,1,2020
Acute phase proteins,Serum amyloid A in chronic inflammation,1,2015
Acute phase response,Acute phase reactant exception,1,2013
Acute phase response,Negative acute phase proteins,1,2013
Acute phase response,Positive acute phase protein list,1,2013
Acute phase response,Positive acute phase proteins,1,2013
Acute polymorphic psychotic disorder,Acute polymorphic psychotic disorder,1,2013
Acute promyelocytic leukemia,t(15;17) in APL,1,2023
Acute scrotum,Doppler ultrasound for torsion,1,2016
Acute scrotum,Traumatic testicular torsion differential,1,2013
Acute transient psychotic disorder,ATPD onset duration,1,2013
Adaptive Immunity,T cell independent antigen mechanism,1,2012
Addiction,Impulse control disorder NOS,1,2013
Addiction Psychiatry,Delirium tremens diagnosis,1,2016
Addiction pharmacology,Bupropion smoking cessation,1,2013
Adenoid,Adenoid pseudostratified ciliated columnar,1,2015
Adenoid,adenoiditis clinical features,1,2016
Adenoid Hypertrophy,Adenoid hypertrophy management,1,2014
Adenoid hypertrophy,Adenoid hypertrophy management,1,2014
Adenoids,Clinical adenoid examination,1,2013
Adenoids,Enlarged adenoids cause otitis media nasal obstruction,1,2015
Adenoids,adenoid clinical features,1,2016
Adenomyosis,Adenomyosis histology,1,2014
Adenomyosis,Hysterectomy for adenomyosis,1,2012
Adenomyosis,adenomyosis definitive treatment,1,2016
Adenosine,Adenosine short half-life,1,2016
Adenylyl cyclase,Glucagon activates adenylyl cyclase,1,2015
Adh Action,ADH aquaporin 2 action,1,2019
Adhd,ADHD conduct disorder association,1,2019
Adhd Medications,ADHD SNRI drug,1,2022
Adipocere,Adipocere formation saponification,1,2019
Adipose Tissue,Hormone sensitive lipase function,1,2012
Adnexal Masses,Hydrosalpinx imaging diagnosis,1,2021
Adnexal masses,Hydrosalpinx imaging diagnosis,1,2021
Adolescent Health,Adolescent epistaxis nasal mass,1,2024
Adolescent Health,WHO adolescent age definition,1,2014
Adolescent Psychiatry,Binge eating self-induced vomiting,1,2022
Adolescent health,Tanner stage II thelarche,1,2014
Adrenergic Agents,Alpha-2 agonist identification,1,2015
Adrenergic Agonists,Alpha-2 agonist apraclonidine,1,2019
Adrenergic Agonists,alpha-2 agonist identification,1,2019
Adrenergic Agonists,epinephrine pharmacology facts,1,2016
Adrenergic Blockers,Atenolol is beta blocker,1,2012
Adrenergic Blockers,Guanethidine chemical sympathectomy,1,2013
Adrenergic Drugs,Diltiazem in thyrotoxicosis,1,2018
Adrenergic Drugs,Guanethidine for thyroid eye disease,1,2012
Adrenergic Pharmacology,Noradrenaline decreases skin blood flow,1,2014
Adrenergic Pharmacology,Renal vasodilation low-dose dopamine,1,2014
Adrenergic agents,Alpha-2 agonist identification,1,2015
Adrenergic agonists,Alpha-2 agonist apraclonidine,1,2019
Adrenergic agonists,Formoterol LABA,1,2015
Adrenergic agonists,alpha-2 agonist identification,1,2019
Adrenergic agonists,epinephrine pharmacology facts,1,2016
Adrenergic blockers,Atenolol is beta blocker,1,2012
Adrenergic blockers,Guanethidine chemical sympathectomy,1,2013
Adrenergic blockers,Phenoxybenzamine in pheochromocytoma,1,2013
Adrenergic drugs,Agonist-antagonist on same receptor,1,2014
Adrenergic drugs,Alpha-2 agonist apraclonidine,1,2019
Adrenergic drugs,Diltiazem in thyrotoxicosis,1,2018
Adrenergic pharmacology,Noradrenaline decreases skin blood flow,1,2014
Adrenergic pharmacology,Renal vasodilation low-dose dopamine,1,2014
Adrenergic receptors,Histamine bronchoconstriction antagonized by adrenaline,1,2014
Adrenoleukodystrophy,X-linked adrenoleukodystrophy classification,1,2016
Advanced cardiac life support,Defibrillation followed by CPR,1,2024
Adverse Drug Effects,Corticosteroids reduce ICP,1,2015
Adverse Drug Effects,Erythromycin pyloric stenosis,1,2015
Adverse Drug Reactions,Amiodarone contraindication pulmonary fibrosis,1,2020
Adverse Drug Reactions,Antiemetic EPS management,1,2021
Adverse Drug Reactions,Antiemetic extrapyramidal effects,1,2018
Adverse Drug Reactions,Antipsychotic drug characteristics,1,2018
Adverse Drug Reactions,Antipsychotic prolactin elevation,1,2017
Adverse Drug Reactions,Cephalosporin causing thrombocytopenia,1,2014
Adverse Drug Reactions,Drug induced lupus antibody,1,2013
Adverse Drug Reactions,Drug induced pleural fibrosis,1,2018
Adverse Drug Reactions,Drug-induced aseptic meningitis,1,2014
Adverse Drug Reactions,Drug-induced hyperpyrexia causes,1,2011
Adverse Drug Reactions,Drug-induced stomatitis identification,1,2024
Adverse Drug Reactions,Fluoroquinolone mechanism of action,1,2018
Adverse Drug Reactions,Fluphenazine EPS management,1,2020
Adverse Drug Reactions,Haloperidol acute dystonia,1,2011
Adverse Drug Reactions,Hirsutism causing drugs,1,2010
Adverse Drug Reactions,Imipenem seizure risk,1,2019
Adverse Drug Reactions,Irreversible ototoxicity drugs,1,2014
Adverse Drug Reactions,Laxative induced melanosis coli,1,2016
Adverse Drug Reactions,Lithium causes ADH resistance,1,2013
Adverse Drug Reactions,Lithium hypercalcemia,1,2020
Adverse Drug Reactions,Lithium inhibits thyroid hormone synthesis,1,2013
Adverse Drug Reactions,Melanosis coli laxative cause,1,2017
Adverse Drug Reactions,Methysergide banned pulmonary fibrosis,1,2014
Adverse Drug Reactions,Niacin adverse effect exception,1,2013
Adverse Drug Reactions,Niacin induced macular edema,1,2020
Adverse Drug Reactions,Oxytocin-induced uterine hyperstimulation,1,2012
Adverse Drug Reactions,Phenytoin induced hirsutism,1,2012
Adverse Drug Reactions,Prostaglandin adverse effect profile,1,2012
